Variable 1,Variable 2,Correlation
private_sector_gross_fixed_capital_formation_percent_gdp,gross_fixed_capital_formation_growth_percent,0.9999855330547444
real_interest_rate_percent,broad_money_to_reserves_ratio,0.9975054029435485
gdp_constant_lcu,manufacturing_value_added_lcu,0.9736229090612959
population_total,personal_remittances_received_usd,0.9401865648160489
gdp_constant_lcu,broad_money_lcu,0.8593389437597309
depositors_with_commercial_banks_per_1000,atms_per_100000,0.8508549537965693
mobile_cellular_subscriptions_per_100,access_to_electricity_percent,0.8182407797418924
population_total,broad_money_lcu,0.8028492748524969
high_technology_exports_usd,total_reserves_usd,0.771221621988793
broad_money_lcu,manufacturing_value_added_lcu,0.7536047921897063
unemployment_rate_percent,credit_to_private_sector_percent_gdp,0.7394590799673781
patent_applications_residents,time_to_start_business_days,0.718099954169322
broad_money_lcu,personal_remittances_received_usd,0.7074216383225992
mobile_cellular_subscriptions_per_100,credit_to_private_sector_percent_gdp,0.6918433139027893
population_total,total_reserves_usd,0.6485680235059177
high_technology_exports_usd,credit_to_private_sector_percent_gdp,0.6297792195117556
investment_in_ict_private,ict_goods_imports_percent_total,0.6206549293209676
ict_goods_imports_percent_total,lending_interest_rate_percent,0.5988661250595839
population_total,gdp_constant_lcu,0.5407086994292811
access_to_electricity_percent,credit_to_private_sector_percent_gdp,0.5375848306852433
real_interest_rate_percent,manufacturing_value_added_lcu,0.5354741554595872
access_to_electricity_percent,total_reserves_usd,0.5324948747674833
broad_money_to_reserves_ratio,manufacturing_value_added_lcu,0.5317302059564228
mobile_cellular_subscriptions_per_100,unemployment_rate_percent,0.5227874846742012
mobile_cellular_subscriptions_per_100,high_technology_exports_usd,0.517935581008629
high_technology_exports_usd,access_to_electricity_percent,0.5147514682129374
high_technology_exports_usd,unemployment_rate_percent,0.5025738082829878
population_growth_percent,unemployment_rate_percent,-0.5329821356769486
rural_population_percent,unemployment_rate_percent,-0.5407823087723408
rural_population_percent,total_reserves_usd,-0.5533160075263972
gdp_constant_lcu,lending_interest_rate_percent,-0.5892107671765994
mobile_cellular_subscriptions_per_100,rural_population_percent,-0.6010033582602148
population_growth_percent,credit_to_private_sector_percent_gdp,-0.6103491068184259
lending_interest_rate_percent,manufacturing_value_added_lcu,-0.643321364946105
mobile_cellular_subscriptions_per_100,population_growth_percent,-0.6951417233498478
rural_population_percent,access_to_electricity_percent,-0.702613264541948
private_sector_gross_fixed_capital_formation_percent_gdp,broad_money_lcu,-0.732192963870904
gross_fixed_capital_formation_growth_percent,broad_money_lcu,-0.7333366750517325
ict_goods_imports_percent_total,broad_money_to_reserves_ratio,-0.7421020202638497
ict_goods_imports_percent_total,real_interest_rate_percent,-0.7465869673974814
broad_money_to_reserves_ratio,lending_interest_rate_percent,-0.9074576097311912
real_interest_rate_percent,lending_interest_rate_percent,-0.9087681450737523
population_total,private_sector_gross_fixed_capital_formation_percent_gdp,-0.9298344912910611
population_total,gross_fixed_capital_formation_growth_percent,-0.9300209125197133
gross_fixed_capital_formation_growth_percent,personal_remittances_received_usd,-0.9643398449264675
private_sector_gross_fixed_capital_formation_percent_gdp,personal_remittances_received_usd,-0.9646682806412824
